trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
170,False,"{'a': 0.5, 'e': 0.18268352405273466}",25,5,-32.82607001534806,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
171,False,"{'a': 0.5, 'e': 0.1808657926171221}",25,19,11.85371146184262,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.17906614791149322}",25,5,25.55334149861296,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17728440996987782}",25,0,-12.308523876949653,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
174,False,"{'a': 0.5, 'e': 0.17552040061699686}",25,0,19.42203050201185,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
175,False,"{'a': 0.5, 'e': 0.17377394345044514}",20,12,16.27204482557302,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.17204486382305054}",20,0,-43.98923022730721,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
177,False,"{'a': 0.5, 'e': 0.17033298882540943}",30,13,-27.06256139454764,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
178,False,"{'a': 0.5, 'e': 0.1686381472685955}",35,26,15.17266786494596,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.1669601696670407}",20,15,-11.081784288426283,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16529888822158653}",25,2,5.438136164851733,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16365413680270405}",30,19,20.838537293565953,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
